Modelo,Fold,Accuracy_epoch,BalancedAccuracy_epoch,Precision_epoch,Recall_epoch,F1_epoch
logistic_regression,1,0.6843373493975904,0.6795859242509893,0.6841593227600777,0.6843373493975904,0.6842443570126728
rbf_svc,1,0.7590361445783133,0.7556293574524213,0.7590361445783133,0.7590361445783133,0.7590361445783133
knn,1,0.8192771084337349,0.8170105521009987,0.8193887917565235,0.8192771084337349,0.8193281597975756
random_forest,1,0.8361445783132531,0.8332508950442812,0.8359867576269094,0.8361445783132531,0.8360460471324529
xgboost,1,0.7734939759036145,0.7708686640286415,0.7737805275154673,0.7734939759036145,0.773619208624447
logistic_regression,2,0.7101449275362319,0.7230248200075786,0.7371376811594204,0.7101449275362319,0.709359944266188
rbf_svc,2,0.7439613526570048,0.7484605911330049,0.7526096428909729,0.7439613526570048,0.7448841656061441
knn,2,0.6859903381642513,0.6783819628647215,0.6845511833102604,0.6859903381642513,0.6848675116540754
random_forest,2,0.7246376811594203,0.7276667298219022,0.7315133508675087,0.7246376811594203,0.7256441601130083
xgboost,2,0.7077294685990339,0.7131726032588102,0.7186524691765761,0.7077294685990339,0.7086877214356562
logistic_regression,3,0.6908212560386473,0.6826923076923077,0.6892475973520793,0.6908212560386473,0.6894483748703697
rbf_svc,3,0.7777777777777778,0.7685676392572944,0.7777777777777778,0.7777777777777778,0.7759091976850961
knn,3,0.717391304347826,0.7022546419098143,0.7183192790221988,0.717391304347826,0.7118383894357277
random_forest,3,0.7753623188405797,0.7593075028419856,0.7823645273504516,0.7753623188405797,0.7698425483565982
xgboost,3,0.7971014492753623,0.7834406972338006,0.8022751045250224,0.7971014492753623,0.7932711205372923
logistic_regression,4,0.7292161520190024,0.7312615101289135,0.7356941954708229,0.7292161520190024,0.7304694387972077
rbf_svc,4,0.7862232779097387,0.7839779005524863,0.787323477137645,0.7862232779097387,0.7866130056983595
knn,4,0.7743467933491687,0.7667702578268876,0.7734667887702831,0.7743467933491687,0.7735467576489172
random_forest,4,0.8622327790973872,0.8520027624309392,0.8642950417772407,0.8622327790973872,0.8607944079487555
xgboost,4,0.8574821852731591,0.8512315837937385,0.8573349446458585,0.8574821852731591,0.8569120479113693
logistic_regression,5,0.6048192771084338,0.5927463094845069,0.6009249117682853,0.6048192771084338,0.6014627559909462
rbf_svc,5,0.691566265060241,0.6778168183747583,0.6899767571386205,0.691566265060241,0.6870420837299361
knn,5,0.6939759036144578,0.6715441211149366,0.6999569947011568,0.6939759036144578,0.6815724913706348
random_forest,5,0.727710843373494,0.7172216195821346,0.7266008917560004,0.727710843373494,0.7252461717969391
xgboost,5,0.7686746987951807,0.7633235862849597,0.768063238117934,0.7686746987951807,0.7682065065488732
