channel,importance_sum,n_features
P3,0.5420202641766786,24
Cz,0.3440895503891873,24
C3,0.2989107466022263,24
F4,0.20089384897569063,24
Fp1,0.1983870005945656,24
F3,0.1983870005945656,24
P4,0.15421800645922346,24
T8,0.14921739412081325,24
Fz,0.14700360138507962,24
C4,0.09794088462650852,24
F7,0.05240286253881632,24
T7,0.05155809775543274,24
F8,0.0485286032449177,24
Pz,-0.0033790591335347564,24
P7,-0.04941228138159082,24
O2,-0.0505386344261024,25
Fp2,-0.1010772688522048,24
O1,-0.1467415535661597,25
P8,-0.24818775995246567,24
